model_name,model_slug,family,recipe,severity,n,accuracy,mean_confidence,clean_accuracy,clean_mean_confidence,accuracy_drop,confidence_drop,incorrect_n,mean_confidence_correct,mean_confidence_incorrect,high_conf_wrong_rate
CLIP ViT-B/16,clip_vit_b16,modern_transfer,dirty_lens_recompress,mid,100,0.88,0.872401992380619,0.9,0.8785907293856144,0.020000000000000018,0.006188737004995448,12,0.9170739528807726,0.5448076153794924,0.06
CLIP ViT-B/16,clip_vit_b16,modern_transfer,low_light_upload,high,100,0.78,0.804657946228981,0.9,0.8785907293856144,0.12,0.07393278315663343,22,0.8649472212180113,0.5909050621769645,0.11
CLIP ViT-B/16,clip_vit_b16,modern_transfer,low_light_upload,low,100,0.86,0.8287377968430519,0.9,0.8785907293856144,0.040000000000000036,0.04985293254256251,14,0.8736902173868445,0.5526014992168972,0.1
CLIP ViT-B/16,clip_vit_b16,modern_transfer,low_light_upload,mid,100,0.8,0.8335857605934143,0.9,0.8785907293856144,0.09999999999999998,0.04500496879220017,20,0.9150512840598821,0.5077236667275429,0.1
CLIP ViT-B/16,clip_vit_b16,modern_transfer,messenger_chain,high,100,0.86,0.8681625959277153,0.9,0.8785907293856144,0.040000000000000036,0.010428133457899169,14,0.9183013529278511,0.5601673743554524,0.08
CLIP ViT-B/16,clip_vit_b16,modern_transfer,messenger_chain,low,100,0.9,0.8794464442133904,0.9,0.8785907293856144,0.0,-0.0008557148277759108,10,0.9159063342544768,0.5513074338436127,0.06
CLIP ViT-B/16,clip_vit_b16,modern_transfer,messenger_chain,mid,100,0.87,0.8751426410675048,0.9,0.8785907293856144,0.030000000000000027,0.00344808831810961,13,0.9231809651714632,0.5536553951410147,0.06
CLIP ViT-B/16,clip_vit_b16,modern_transfer,restoration_artifact,high,100,0.82,0.8675135910511017,0.9,0.8785907293856144,0.08000000000000007,0.011077138334512737,18,0.9359466339029917,0.5557630625036027,0.1
CLIP ViT-B/16,clip_vit_b16,modern_transfer,restoration_artifact,low,100,0.87,0.8700172188878059,0.9,0.8785907293856144,0.030000000000000027,0.008573510497808523,13,0.914525361239225,0.5721550354590783,0.07
CLIP ViT-B/16,clip_vit_b16,modern_transfer,restoration_artifact,mid,100,0.89,0.8563066264986992,0.9,0.8785907293856144,0.010000000000000009,0.02228410288691529,11,0.8902934983874975,0.5813219357620586,0.07
CLIP ViT-B/16,clip_vit_b16,modern_transfer,screenshot_chain,high,100,0.82,0.8685928627848625,0.9,0.8785907293856144,0.08000000000000007,0.00999786660075197,18,0.9390525269072231,0.5476099484496646,0.11
CLIP ViT-B/16,clip_vit_b16,modern_transfer,screenshot_chain,low,100,0.89,0.8771524935960769,0.9,0.8785907293856144,0.010000000000000009,0.0014382357895375009,11,0.9170657262373506,0.5542181567712263,0.06
CLIP ViT-B/16,clip_vit_b16,modern_transfer,screenshot_chain,mid,100,0.86,0.8700267854332924,0.9,0.8785907293856144,0.040000000000000036,0.008563943952322073,14,0.9241462893957315,0.5375784039497375,0.08
CLIP ViT-B/16,clip_vit_b16,modern_transfer,video_call_frame,high,100,0.82,0.8430265134572983,0.9,0.8785907293856144,0.08000000000000007,0.035564215928316156,18,0.9012106736985649,0.5779653390248617,0.11
CLIP ViT-B/16,clip_vit_b16,modern_transfer,video_call_frame,low,100,0.88,0.8609686958789825,0.9,0.8785907293856144,0.020000000000000018,0.01762203350663194,12,0.9029622545296495,0.5530159324407578,0.05
CLIP ViT-B/16,clip_vit_b16,modern_transfer,video_call_frame,mid,100,0.85,0.8479670149087906,0.9,0.8785907293856144,0.050000000000000044,0.030623714476823882,15,0.9062089629033032,0.5179293096065521,0.07
SigLIP Base P16 224,siglip_base_p16_224,classic,blur_classic,high,100,0.19,0.46973675206303594,0.19,0.4902893927693367,0.0,0.02055264070630075,81,0.425709530711174,0.480064124972732,0.31
SigLIP Base P16 224,siglip_base_p16_224,classic,blur_classic,low,100,0.18,0.476761579811573,0.19,0.4902893927693367,0.010000000000000009,0.013527812957763674,82,0.47903145021862453,0.4762633155758788,0.33
SigLIP Base P16 224,siglip_base_p16_224,classic,blur_classic,mid,100,0.17,0.46568508207798004,0.19,0.4902893927693367,0.01999999999999999,0.024604310691356657,83,0.4780428339453304,0.46315397627382393,0.31
