family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop,protocol
native_cure_or,native_challenge_type_16,level_4,500,0.026,0.011340577952563763,0.53,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_16,level_5,500,0.014,0.011498700883239508,0.542,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_17,level_1,500,0.18,0.011530890071764588,0.37600000000000006,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_17,level_2,500,0.144,0.01149838425964117,0.41200000000000003,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_17,level_3,500,0.104,0.01150098050944507,0.45200000000000007,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_17,level_4,500,0.086,0.011512962900102139,0.4700000000000001,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_17,level_5,500,0.066,0.011474596982821822,0.49000000000000005,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_18,level_1,500,0.088,0.011344115266576409,0.4680000000000001,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_18,level_2,500,0.044,0.01124012546427548,0.512,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_18,level_3,500,0.022,0.011346690092235804,0.534,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_18,level_4,500,0.01,0.011912806071341037,0.546,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_18,level_5,500,0.01,0.012127131516113877,0.546,full_cure_or_leave_clean_condition_out_prototype
