model_name,model_slug,family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,low_light_upload,high,100,0.63,0.8507390606403351,0.21999999999999997
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,low_light_upload,low,100,0.85,0.8696433541178703,0.0
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,low_light_upload,mid,100,0.77,0.8668014106154441,0.07999999999999996
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,messenger_chain,high,100,0.85,0.8831182098388672,0.0
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,messenger_chain,low,100,0.87,0.8799816751480103,-0.020000000000000018
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,messenger_chain,mid,100,0.83,0.8873636177182198,0.020000000000000018
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,restoration_artifact,high,100,0.81,0.8700086390972137,0.039999999999999925
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,restoration_artifact,low,100,0.83,0.8835603460669518,0.020000000000000018
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,restoration_artifact,mid,100,0.84,0.8751736813783646,0.010000000000000009
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,screenshot_chain,high,100,0.84,0.8722805014252663,0.010000000000000009
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,screenshot_chain,low,100,0.87,0.8785795712471008,-0.020000000000000018
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,screenshot_chain,mid,100,0.85,0.883257794380188,0.0
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,video_call_frame,high,100,0.76,0.8515014317631722,0.08999999999999997
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,video_call_frame,low,100,0.85,0.8810518988966942,0.0
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,video_call_frame,mid,100,0.83,0.8649428787827492,0.020000000000000018
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,classic,blur_classic,high,100,0.78,0.11805710054934025,0.05999999999999994
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,classic,blur_classic,low,100,0.85,0.12376870535314083,-0.010000000000000009
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,classic,blur_classic,mid,100,0.86,0.12165597356855869,-0.020000000000000018
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,classic,jpeg_classic,high,100,0.85,0.12220253817737102,-0.010000000000000009
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,classic,jpeg_classic,low,100,0.85,0.12348885141313076,-0.010000000000000009
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,classic,jpeg_classic,mid,100,0.84,0.12296660043299198,0.0
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,classic,resize_roundtrip,high,100,0.88,0.12057416439056397,-0.040000000000000036
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,classic,resize_roundtrip,low,100,0.84,0.12392863921821118,0.0
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,classic,resize_roundtrip,mid,100,0.86,0.12342325270175934,-0.020000000000000018
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,clean,clean,clean,100,0.84,0.12402384452521802,0.0
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,modern_transfer,dirty_lens_recompress,high,100,0.86,0.12230465427041054,-0.020000000000000018
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,modern_transfer,dirty_lens_recompress,low,100,0.84,0.12349250249564647,0.0
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,modern_transfer,dirty_lens_recompress,mid,100,0.81,0.12316901572048664,0.029999999999999916
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,modern_transfer,low_light_upload,high,100,0.64,0.11532002963125705,0.19999999999999996
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,modern_transfer,low_light_upload,low,100,0.88,0.12339500635862351,-0.040000000000000036
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,modern_transfer,low_light_upload,mid,100,0.87,0.12029044881463051,-0.030000000000000027
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,modern_transfer,messenger_chain,high,100,0.85,0.12184115439653397,-0.010000000000000009
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,modern_transfer,messenger_chain,low,100,0.84,0.12354079715907573,0.0
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,modern_transfer,messenger_chain,mid,100,0.83,0.12319021880626678,0.010000000000000009
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,modern_transfer,restoration_artifact,high,100,0.85,0.1214683024585247,-0.010000000000000009
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,modern_transfer,restoration_artifact,low,100,0.84,0.12382465071976184,0.0
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,modern_transfer,restoration_artifact,mid,100,0.82,0.12319119513034821,0.020000000000000018
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,modern_transfer,screenshot_chain,high,100,0.87,0.12166625380516052,-0.030000000000000027
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,modern_transfer,screenshot_chain,low,100,0.84,0.12351460963487625,0.0
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,modern_transfer,screenshot_chain,mid,100,0.83,0.12305418975651264,0.010000000000000009
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,modern_transfer,video_call_frame,high,100,0.89,0.11950416930019855,-0.050000000000000044
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,modern_transfer,video_call_frame,low,100,0.85,0.12335175946354866,-0.010000000000000009
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,modern_transfer,video_call_frame,mid,100,0.81,0.12207278713583947,0.029999999999999916
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,classic,blur_classic,high,100,0.47,0.11499801248311997,0.09000000000000008
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,classic,blur_classic,low,100,0.57,0.11560699306428432,-0.009999999999999898
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,classic,blur_classic,mid,100,0.57,0.11559670761227608,-0.009999999999999898
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,classic,jpeg_classic,high,100,0.49,0.1155688513815403,0.07000000000000006
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,classic,jpeg_classic,low,100,0.56,0.11554057307541371,0.0
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,classic,jpeg_classic,mid,100,0.54,0.11562344960868359,0.020000000000000018
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,classic,resize_roundtrip,high,100,0.55,0.11565308824181557,0.010000000000000009
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,classic,resize_roundtrip,low,100,0.56,0.11560881927609444,0.0
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,classic,resize_roundtrip,mid,100,0.57,0.11576637730002404,-0.009999999999999898
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,clean,clean,clean,100,0.56,0.11554641984403133,0.0
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,modern_transfer,dirty_lens_recompress,high,100,0.5,0.11515393301844597,0.06000000000000005
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,modern_transfer,dirty_lens_recompress,low,100,0.56,0.11547130100429058,0.0
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,modern_transfer,dirty_lens_recompress,mid,100,0.56,0.11542676828801632,0.0
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,modern_transfer,low_light_upload,high,100,0.56,0.11185363627970218,0.0
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,modern_transfer,low_light_upload,low,100,0.54,0.11519199438393116,0.020000000000000018
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,modern_transfer,low_light_upload,mid,100,0.53,0.11432866536080838,0.030000000000000027
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,modern_transfer,messenger_chain,high,100,0.49,0.1155362579971552,0.07000000000000006
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,modern_transfer,messenger_chain,low,100,0.55,0.11551622398197652,0.010000000000000009
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,modern_transfer,messenger_chain,mid,100,0.54,0.11561211064457894,0.020000000000000018
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,modern_transfer,restoration_artifact,high,100,0.53,0.11523171283304691,0.030000000000000027
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,modern_transfer,restoration_artifact,low,100,0.55,0.11546021811664105,0.010000000000000009
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,modern_transfer,restoration_artifact,mid,100,0.55,0.11545056857168674,0.010000000000000009
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,modern_transfer,screenshot_chain,high,100,0.5,0.1154459159821272,0.06000000000000005
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,modern_transfer,screenshot_chain,low,100,0.56,0.11558282785117627,0.0
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,modern_transfer,screenshot_chain,mid,100,0.56,0.1155268131941557,0.0
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,modern_transfer,video_call_frame,high,100,0.46,0.11467532701790333,0.10000000000000003
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,modern_transfer,video_call_frame,low,100,0.55,0.11554424658417702,0.010000000000000009
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,modern_transfer,video_call_frame,mid,100,0.52,0.11514775976538658,0.040000000000000036
