model_name,model_slug,severity,base_type,base_name,base_display_name,color_accuracy,grayscale_accuracy,grayscale_minus_color_accuracy,color_mean_confidence,grayscale_mean_confidence,grayscale_minus_color_confidence
CLIP ViT-B/32,clip_vit_b32,level_3,06,contrast,Contrast,0.232,0.128,-0.10400000000000001,0.36713916912674904,0.3672373480126262,9.817888587715373e-05
CLIP ViT-B/32,clip_vit_b32,level_3,07,dirty_lens_1,Dirty lens 1,0.172,0.056,-0.11599999999999999,0.34763756915926936,0.2875926621854305,-0.06004490697383885
CLIP ViT-B/32,clip_vit_b32,level_3,08,dirty_lens_2,Dirty lens 2,0.232,0.092,-0.14,0.3120614737793803,0.24573663567006587,-0.06632483810931444
CLIP ViT-B/32,clip_vit_b32,level_3,05,gaussian_blur,Gaussian blur,0.048,0.012,-0.036000000000000004,0.1708751822039485,0.20609378701448441,0.0352186048105359
CLIP ViT-B/32,clip_vit_b32,level_3,04,overexposure,Overexposure,0.168,0.112,-0.05600000000000001,0.38002441567182543,0.32377334040403366,-0.05625107526779177
CLIP ViT-B/32,clip_vit_b32,level_3,02,resize,Resize,0.34,0.222,-0.11800000000000002,0.46468965864181516,0.37319968864321706,-0.0914899699985981
CLIP ViT-B/32,clip_vit_b32,level_3,09,salt_pepper_noise,Salt & pepper noise,0.094,0.024,-0.07,0.24311857441067697,0.264834694981575,0.021716120570898056
CLIP ViT-B/32,clip_vit_b32,level_3,03,underexposure,Underexposure,0.344,0.168,-0.17599999999999996,0.3738822904899716,0.318954331189394,-0.054927959300577645
CLIP ViT-B/32,clip_vit_b32,level_4,06,contrast,Contrast,0.206,0.128,-0.07799999999999999,0.3584571428745985,0.3570973968729377,-0.0013597460016608331
CLIP ViT-B/32,clip_vit_b32,level_4,07,dirty_lens_1,Dirty lens 1,0.1,0.028,-0.07200000000000001,0.33929038286209107,0.2541220678091049,-0.08516831505298617
CLIP ViT-B/32,clip_vit_b32,level_4,08,dirty_lens_2,Dirty lens 2,0.21,0.07,-0.13999999999999999,0.2733653256893158,0.233124402821064,-0.040240922868251816
CLIP ViT-B/32,clip_vit_b32,level_4,05,gaussian_blur,Gaussian blur,0.026,0.012,-0.013999999999999999,0.20554242308437826,0.20793365828692914,0.0023912352025508843
CLIP ViT-B/32,clip_vit_b32,level_4,04,overexposure,Overexposure,0.144,0.078,-0.06599999999999999,0.3337931908667088,0.31584650960564614,-0.017946681261062636
CLIP ViT-B/32,clip_vit_b32,level_4,02,resize,Resize,0.334,0.218,-0.11600000000000002,0.4711236474663019,0.3680821290910244,-0.10304151837527753
CLIP ViT-B/32,clip_vit_b32,level_4,09,salt_pepper_noise,Salt & pepper noise,0.024,0.008,-0.016,0.1720137958675623,0.3187913933545351,0.1467775974869728
CLIP ViT-B/32,clip_vit_b32,level_4,03,underexposure,Underexposure,0.284,0.128,-0.15599999999999997,0.34295693451911213,0.33063132797181605,-0.012325606547296086
CLIP ViT-B/32,clip_vit_b32,level_5,06,contrast,Contrast,0.19,0.122,-0.068,0.3467228182256222,0.3449710269495845,-0.0017517912760376952
CLIP ViT-B/32,clip_vit_b32,level_5,07,dirty_lens_1,Dirty lens 1,0.05,0.016,-0.034,0.29243626157939434,0.23510963858664036,-0.057326622992753984
CLIP ViT-B/32,clip_vit_b32,level_5,08,dirty_lens_2,Dirty lens 2,0.126,0.048,-0.078,0.2321600257754326,0.20328372918069362,-0.028876296594738976
CLIP ViT-B/32,clip_vit_b32,level_5,05,gaussian_blur,Gaussian blur,0.014,0.01,-0.004,0.2052462061420083,0.19634294831752777,-0.008903257824480537
CLIP ViT-B/32,clip_vit_b32,level_5,04,overexposure,Overexposure,0.114,0.068,-0.046,0.3103926691263914,0.33274543936550616,0.02235277023911475
CLIP ViT-B/32,clip_vit_b32,level_5,09,salt_pepper_noise,Salt & pepper noise,0.006,0.01,0.004,0.1266228765398264,0.418802252009511,0.2921793754696846
CLIP ViT-B/32,clip_vit_b32,level_5,03,underexposure,Underexposure,0.174,0.09,-0.08399999999999999,0.2620486635565758,0.2951436529457569,0.033094989389181095
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_1,06,contrast,Contrast,0.572,0.426,-0.14599999999999996,0.013584183095023036,0.013149672789499163,-0.0004345103055238726
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_1,07,dirty_lens_1,Dirty lens 1,0.562,0.432,-0.13000000000000006,0.013052291754633188,0.012634485812857747,-0.0004178059417754409
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_1,08,dirty_lens_2,Dirty lens 2,0.552,0.38,-0.17200000000000004,0.012908288300037384,0.0123785860799253,-0.0005297022201120848
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_1,05,gaussian_blur,Gaussian blur,0.206,0.102,-0.104,0.011840146115049719,0.011612333741039038,-0.0002278123740106809
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_1,04,overexposure,Overexposure,0.606,0.472,-0.134,0.013834083637222648,0.013351020887494087,-0.0004830627497285616
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_1,02,resize,Resize,0.604,0.49,-0.11399999999999999,0.013913114029914141,0.013472997359931469,-0.0004401166699826726
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_1,09,salt_pepper_noise,Salt & pepper noise,0.476,0.254,-0.22199999999999998,0.012849337795749307,0.012051481042057275,-0.000797856753692032
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_1,03,underexposure,Underexposure,0.58,0.45490981963927857,-0.1250901803607214,0.01375908706523478,0.013303187246507179,-0.00045589981872760227
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_2,06,contrast,Contrast,0.528,0.378,-0.15000000000000002,0.013367568181827664,0.012966486329212785,-0.00040108185261487905
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_2,07,dirty_lens_1,Dirty lens 1,0.532,0.36,-0.17200000000000004,0.012622900685295462,0.012135029474273324,-0.0004878712110221381
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_2,08,dirty_lens_2,Dirty lens 2,0.518,0.332,-0.186,0.012749124417081476,0.012203598605468869,-0.0005455258116126068
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_2,05,gaussian_blur,Gaussian blur,0.066,0.032,-0.034,0.0113285205475986,0.010921949142590166,-0.00040657140500843444
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_2,04,overexposure,Overexposure,0.524,0.364,-0.16000000000000003,0.013325595958158375,0.012710629908367991,-0.0006149660497903834
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_2,02,resize,Resize,0.598,0.472,-0.126,0.01389891974441707,0.013442694135010242,-0.00045622560940682816
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_2,09,salt_pepper_noise,Salt & pepper noise,0.38,0.148,-0.232,0.012165478290989995,0.011552728664129973,-0.0006127496268600215
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_2,03,underexposure,Underexposure,0.574,0.456,-0.11799999999999994,0.013831276282668113,0.01327911247499287,-0.0005521638076752423
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_3,06,contrast,Contrast,0.488,0.36,-0.128,0.013231671480461955,0.01287587507069111,-0.00035579640977084596
