model_name,model_slug,family,recipe,severity,label,n,accuracy,drop_vs_clean_label
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,low,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,low,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,low,training_marker_cone,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,mid,baseball,10,0.9,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,mid,calcium_bottle,10,0.8,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,mid,canon_camera,10,0.2,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,mid,dymo_label_maker,10,0.5,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,mid,hair_brush,10,0.7,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,mid,lg_cell_phone,10,0.7,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,mid,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,mid,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,mid,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,mid,training_marker_cone,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,clean,clean,clean,baseball,10,0.9,0.0
CLIP ViT-B/32,clip_vit_b32,clean,clean,clean,calcium_bottle,10,0.8,0.0
CLIP ViT-B/32,clip_vit_b32,clean,clean,clean,canon_camera,10,0.3,0.0
CLIP ViT-B/32,clip_vit_b32,clean,clean,clean,dymo_label_maker,10,0.5,0.0
CLIP ViT-B/32,clip_vit_b32,clean,clean,clean,hair_brush,10,0.7,0.0
CLIP ViT-B/32,clip_vit_b32,clean,clean,clean,lg_cell_phone,10,0.7,0.0
CLIP ViT-B/32,clip_vit_b32,clean,clean,clean,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,clean,clean,clean,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,clean,clean,clean,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,clean,clean,clean,training_marker_cone,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,high,baseball,10,0.9,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,high,calcium_bottle,10,0.6,0.20000000000000007
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,high,canon_camera,10,0.2,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,high,dymo_label_maker,10,0.5,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,high,hair_brush,10,0.8,-0.10000000000000009
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,high,lg_cell_phone,10,0.8,-0.10000000000000009
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,high,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,high,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,high,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,high,training_marker_cone,10,0.9,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,low,baseball,10,0.9,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,low,calcium_bottle,10,0.8,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,low,canon_camera,10,0.2,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,low,dymo_label_maker,10,0.4,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,low,hair_brush,10,0.8,-0.10000000000000009
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,low,lg_cell_phone,10,0.7,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,low,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,low,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,low,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,low,training_marker_cone,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,mid,baseball,10,0.9,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,mid,calcium_bottle,10,0.8,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,mid,canon_camera,10,0.3,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,mid,dymo_label_maker,10,0.5,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,mid,hair_brush,10,0.7,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,mid,lg_cell_phone,10,0.9,-0.20000000000000007
