model_name,model_slug,rank_most_damaging,recipe,accuracy,relative_accuracy_drop,mean_confidence
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,9,native_challenge_type_12,0.144,0.48,0.013076341273263096
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,10,native_challenge_type_04,0.152,0.472,0.012360324082896114
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,11,native_challenge_type_03,0.186,0.438,0.013104728665202856
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,12,native_challenge_type_08,0.248,0.376,0.011837964531034232
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,13,native_challenge_type_15,0.264,0.36,0.012480624930933118
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,14,native_challenge_type_06,0.394,0.22999999999999998,0.012753992334008217
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,1,native_challenge_type_05,0.01,0.546,0.013240355281159282
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,2,native_challenge_type_09,0.01,0.546,0.01269876492023468
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,3,native_challenge_type_14,0.01,0.546,0.013103917505592108
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,4,native_challenge_type_18,0.01,0.546,0.012127131516113877
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,5,native_challenge_type_16,0.014,0.542,0.011498700883239508
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,6,native_challenge_type_17,0.066,0.49000000000000005,0.011474596982821822
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,7,native_challenge_type_13,0.068,0.48800000000000004,0.01191053607314825
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,8,native_challenge_type_07,0.09,0.4660000000000001,0.011125154325738549
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,9,native_challenge_type_12,0.126,0.43000000000000005,0.012149545913562178
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,10,native_challenge_type_04,0.132,0.42400000000000004,0.011664067735895515
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,11,native_challenge_type_15,0.158,0.398,0.011904936000704766
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,12,native_challenge_type_03,0.166,0.39,0.012225281186401845
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,13,native_challenge_type_08,0.19,0.36600000000000005,0.011432689167559146
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,14,native_challenge_type_06,0.294,0.26200000000000007,0.011889520762488247
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,1,native_challenge_type_18,0.008,0.608,0.010693569242954254
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,2,native_challenge_type_14,0.012,0.604,0.011246481383219362
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,3,native_challenge_type_05,0.014,0.602,0.011401761412620545
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,4,native_challenge_type_09,0.014,0.602,0.01099099644459784
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,5,native_challenge_type_16,0.056,0.5599999999999999,0.011104733508080245
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,6,native_challenge_type_13,0.182,0.434,0.012027276538312434
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,7,native_challenge_type_07,0.192,0.424,0.01132381790690124
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,8,native_challenge_type_17,0.194,0.422,0.011485210763290524
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,9,native_challenge_type_04,0.316,0.3,0.012447811575606465
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,10,native_challenge_type_15,0.344,0.272,0.012706978537142278
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,11,native_challenge_type_08,0.4,0.21599999999999997,0.011900360561907292
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,12,native_challenge_type_12,0.418,0.198,0.012848767083138228
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,13,native_challenge_type_06,0.462,0.15399999999999997,0.013050151428207755
